Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Area,Road Width,Road Type,Build Area,Amenities,Pricepersqft
Tokha,Kathmandu,22000000,5,5,3.0,1,East,2076.0,1060.975,13.0, Soil Stabilized,1060.975,1,20735.644100944886
Budhanilkantha,Kathmandu,37000000,5,5,3.0,3,South East,2071.0,2738.0,15.0, Blacktopped,2738.0,7,13513.513513513513
Baluwatar,Kathmandu,46000000,4,3,2.5,1,South West,2074.0,12988.5,13.0, Concrete,12988.5,15,3541.594487431189
Other,Kathmandu,22500000,5,3,3.0,1,East,2074.0,1369.0,13.0,None,1369.0,9,16435.35427319211
Other,Bhaktapur,29000000,3,3,2.0,2,North,2070.0,1540.125,20.0, Blacktopped,2200.0,17,18829.640451262072
Other,Kathmandu,31000000,3,4,3.0,1,East,2018.0,1026.75,19.68504, Blacktopped,2000.0,4,30192.354516678843
Other,Kathmandu,42500000,0,0,3.0,0,West,2074.0,5357.25,29.0,None,5357.25,0,7933.1746698399365
Budhanilkantha,Kathmandu,37500000,5,5,3.0,2,South East,2074.0,1711.25,0.0,None,1711.25,10,21913.80569758948
Budhanilkantha,Kathmandu,105000000,4,3,3.0,4,South,2074.0,21904.0,20.0,None,21904.0,12,4793.644996347699
Baluwatar,Kathmandu,80000000,4,5,3.0,4,West,2076.0,14018.25,13.0, Gravelled,14018.25,15,5706.846432329285
Other,Lalitpur,25000000,3,4,2.0,2,East,2076.0,8659.0,13.0, Gravelled,8659.0,7,2887.169419101513
Other,Bhaktapur,32500000,4,4,2.0,4,South,2017.0,2395.75,20.0, Paved,2395.75,13,13565.689241364917
Jorpati,Kathmandu,21000000,5,3,3.0,1,South West,2076.0,8316.75,12.0, Blacktopped,8316.75,7,2525.024799350708
Other,Kathmandu,120000000,0,0,3.0,0,West,2074.0,10609.75,20.0,None,10609.75,0,11310.35132778812
Other,Chitwan,7700000,4,2,2.0,1,East,2017.0,2053.5,16.0, Gravelled,2053.5,6,3749.6956415875334
Other,Kathmandu,20000000,7,3,2.5,2,West,2067.0,5015.0,10.0, Gravelled,5015.0,12,3988.035892323031
Other,Bhaktapur,19000000,7,4,3.5,1,West,2076.0,1026.75,20.0, Gravelled,1197875.0,11,18504.99147796445
Budhanilkantha,Kathmandu,33500000,0,4,3.0,2,South East,2074.0,1369.0,18.0, Blacktopped,1369.0,19,24470.416362308253
Other,Kathmandu,37000000,0,0,3.0,0,North East,2074.0,1713.25,13.0, Blacktopped,1713.25,0,21596.381146942946
Other,Kathmandu,36000000,0,0,3.0,0,East,2074.0,9685.75,20.0,None,9685.75,0,3716.800454275611
Dhapasi,Kathmandu,40000000,8,4,3.0,5,South,2068.0,13673.0,12.0, Concrete,13673.0,12,2925.473561032692
Imadol,Lalitpur,12500000,2,1,1.0,1,West,2076.0,1026.75,20.0, Gravelled,1026.75,8,12174.336498660823
Imadol,Lalitpur,19500000,5,3,2.5,1,East,2076.0,4671.75,20.0, Gravelled,4671.75,12,4174.024723069513
Imadol,Lalitpur,22000000,5,3,2.5,1,West,2076.0,8316.75,20.0, Gravelled,8316.75,10,2645.2640755102652
Imadol,Lalitpur,21500000,4,3,2.5,1,East,2076.0,1369.0,20.0, Gravelled,2500.0,9,15704.894083272462
Imadol,Lalitpur,19500000,4,3,2.5,1,North East,2076.0,8316.75,20.0, Gravelled,256687.5,9,2344.6658851113716
Imadol,Lalitpur,19000000,4,3,2.5,1,South,2076.0,1026.75,13.0, Gravelled,1026.75,8,18504.99147796445
Imadol,Lalitpur,18000000,4,3,2.5,1,South,2076.0,1026.75,13.0, Gravelled,1026.75,0,17531.044558071586
Other,Kathmandu,37000000,8,5,3.0,2,South,2077.0,5359.25,12.0, Gravelled,5359.25,4,6903.951112562392
Other,Kathmandu,34000000,6,3,3.0,1,South,2077.0,1369.0,12.0, Gravelled,1369.0,5,24835.646457268078
Other,Others,800000,2,1,1.0,1,South,2020.0,138.90625,32.0,None,138.90625,1,5759.280089988752
Other,Kathmandu,26000000,8,4,3.0,1,South,2075.0,1371.0,16.0, Gravelled,1371.0,11,18964.259664478483
Other,Kathmandu,22000000,5,3,3.0,1,South West,2074.0,9343.5,10.0,None,9343.5,4,2354.5780489110075
Other,Kathmandu,23000000,7,3,3.0,1,North East,2074.0,1369.0,10.0,None,1369.0,1,16800.584368151936
Other,Kathmandu,15500000,5,2,3.0,1,North West,2074.0,8318.75,13.0,None,8318.75,1,1863.260706235913
Other,Kathmandu,57500000,0,0,3.0,0,North East,2074.0,5698.5,12.0, Blacktopped,5698.5,0,10090.374659998246
Baluwatar,Kathmandu,90000000,5,5,3.0,3,South East,2074.0,3422.5,20.0,None,3422.5,7,26296.566837107377
Other,Kathmandu,17000000,4,3,2.5,1,North West,2076.0,1369.0,10.0, Blacktopped,1650.0,11,12417.823228634039
Imadol,Lalitpur,12500000,2,1,1.5,1,South,2076.0,4671.75,13.0, Gravelled,4671.75,6,2675.656873762509
Other,Bhaktapur,2100000,0,0,3.0,0,North East,2074.0,9001.25,20.0, Gravelled,9001.25,2,233.30093042632967
Budhanilkantha,Kathmandu,45000000,4,4,3.0,4,South West,2074.0,3764.75,22.0,None,3764.75,13,11952.984925957899
Other,Lalitpur,12500000,2,1,1.5,1,South,2076.0,1026.75,13.0, Gravelled,1026.75,3,12174.336498660823
Imadol,Lalitpur,19000000,4,3,2.5,2,North West,2076.0,8316.75,13.0, Gravelled,8316.75,9,2284.546247031593
Other,Kathmandu,32000000,0,0,3.0,0,South West,2074.0,3422.5,20.0,None,3422.5,0,9349.890430971513
Other,Kathmandu,15500000,2,1,1.5,2,South West,2076.0,1369.0,20.0, Gravelled,1369.0,0,11322.132943754565
Budhanilkantha,Kathmandu,3000000,0,0,3.0,0,West,2074.0,4107.0,16.0, Paved,4107.0,0,730.4601899196493
Other,Kathmandu,6500000,0,0,3.0,0,East,2074.0,6160.5,40.0, Blacktopped,6160.5,0,1055.1091632172713
Other,Kathmandu,2350000,0,0,3.0,0,South,2074.0,1711.25,13.0, Blacktopped,1711.25,0,1373.2651570489409
Golfutar,Kathmandu,4100000,0,0,3.0,0,East,2074.0,1369.0,13.0, Soil Stabilized,1369.0,0,2994.8867786705623
Other,Kathmandu,3500000,0,0,3.0,0,South,2074.0,2087.725,12.0, Paved,2087.725,0,1676.4660096516543
Budhanilkantha,Kathmandu,2800000,0,0,3.0,0,West,2074.0,6160.5,20.0, Blacktopped,6160.5,0,454.5085626166707
Budhanilkantha,Kathmandu,3500000,0,0,3.0,0,East,2074.0,6160.5,30.0, Blacktopped,6160.5,0,568.1357032708385
Tokha,Kathmandu,1500000,0,0,3.0,0,East,2074.0,2395.75,58.0, Concrete,2395.75,0,626.1087342168423
Other,Others,1250000,0,0,3.0,0,East,2003.0,15651.5,20.0, Soil Stabilized,15651.5,0,79.86454972366866
