Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Area,Road Width,Road Type,Build Area,Amenities
Other,Kathmandu,32000000,0,0,3.0,0,South West,2074.0,3422.5,20.0,None,3422.5,0
Other,Kathmandu,15500000,2,1,1.5,2,South West,2076.0,1369.0,20.0, Gravelled,1369.0,0
Budhanilkantha,Kathmandu,3000000,0,0,3.0,0,West,2074.0,4107.0,16.0, Paved,4107.0,0
Other,Kathmandu,6500000,0,0,3.0,0,East,2074.0,6160.5,40.0, Blacktopped,6160.5,0
Other,Kathmandu,2350000,0,0,3.0,0,South,2074.0,1711.25,13.0, Blacktopped,1711.25,0
Golfutar,Kathmandu,4100000,0,0,3.0,0,East,2074.0,1369.0,13.0, Soil Stabilized,1369.0,0
Other,Kathmandu,3500000,0,0,3.0,0,South,2074.0,2087.725,12.0, Paved,2087.725,0
Budhanilkantha,Kathmandu,2800000,0,0,3.0,0,West,2074.0,6160.5,20.0, Blacktopped,6160.5,0
Budhanilkantha,Kathmandu,3500000,0,0,3.0,0,East,2074.0,6160.5,30.0, Blacktopped,6160.5,0
Tokha,Kathmandu,1500000,0,0,3.0,0,East,2074.0,2395.75,58.0, Concrete,2395.75,0
Other,Kathmandu,1100000,0,0,3.0,0,South,2074.0,1369.0,10.0,None,1369.0,0
Chabahil,Kathmandu,8500000,0,0,3.0,0,South,2074.0,9001.25,13.0,None,9001.25,0
Other,Kathmandu,2850000,0,0,3.0,0,South,2074.0,1369.0,10.0,None,1369.0,0
Other,Kathmandu,1450000,0,0,3.0,0,West,2074.0,1711.25,20.0,None,1711.25,0
Budhanilkantha,Kathmandu,2600000,0,0,3.0,0,East,2074.0,14032.25,15.0, Blacktopped,14032.25,0
Budhanilkantha,Kathmandu,3800000,0,0,3.0,0,East,2074.0,5476.0,30.0, Blacktopped,5476.0,0
Budhanilkantha,Kathmandu,3500000,0,0,3.0,0,South,2074.0,3422.5,30.0, Blacktopped,3422.5,0
Other,Kathmandu,1000000,0,0,3.0,0,North,2074.0,1026.75,26.0,None,1026.75,1
Golfutar,Kathmandu,4200000,0,0,3.0,0,South,2074.0,2738.0,15.0,None,2738.0,0
Budhanilkantha,Kathmandu,6000000,0,0,3.0,0,East,2074.0,43808.0,35.0, Blacktopped,43808.0,0
Bhangal,Kathmandu,2450000,0,0,3.0,0,North East,2074.0,1711.25,16.0,None,1711.25,0
Baluwatar,Kathmandu,5700000,0,0,3.0,0,East,2074.0,5476.0,14.0,None,5476.0,0
Other,Kathmandu,7000000,0,0,3.0,0,East,2074.0,4107.0,25.0,None,4107.0,0
Hattigauda,Kathmandu,2500000,0,0,3.0,0,South,2074.0,3080.25,15.0, Blacktopped,3080.25,0
Budhanilkantha,Kathmandu,4000000,0,0,3.0,0,North East,2074.0,21904.0,15.0, Soil Stabilized,21904.0,0
Other,Kathmandu,5700000,0,0,3.0,0,East,2074.0,1369.0,15.0, Blacktopped,1369.0,0
Golfutar,Kathmandu,3000000,0,0,3.0,0,South West,2074.0,1711.25,13.0, Soil Stabilized,1711.25,0
Other,Kathmandu,5500000,0,0,3.0,0,South,2074.0,4107.0,0.0,None,4107.0,0
Other,Kathmandu,7000000,0,0,3.0,0,East,2074.0,2395.75,29.52756, Blacktopped,2395.75,0
Other,Kathmandu,1900000,0,0,3.0,0,South East,2074.0,8556.25,22.0,None,8556.25,0
Bhangal,Kathmandu,3000000,0,0,3.0,0,North,2074.0,1711.25,0.0,None,1711.25,0
