,Address,City,Bedroom,Bathroom,Parking,Face,Views,Area,Road Width,Road Type
325, Budhanilkantha,Kathmandu,5,5,1,South East,384.0,103359.5,14.0, Gravelled
326, Budhanilkantha,Kathmandu,5,4,2,East,619.0,48599.5,14.0, Blacktopped
327, Balaju,Kathmandu,3,1,4,East,697.0,1369.0,20.0,
328, Banasthali,Kathmandu,2,1,0,South,266.0,7187.25,14.0, Gravelled
329, Chapali,Kathmandu,5,6,4,South East,204.0,4107.0,14.0, Gravelled
330, Maharajgunj,Kathmandu,6,7,10,East,454.0,27380.0,24.0, Blacktopped
331, Baluwatar,Kathmandu,7,3,1,North,4500.0,171125.0,10.0, Blacktopped
332, alubari,Kathmandu,0,0,0,East,716.0,24642.0,0.0,
333, Matatirtha,Kathmandu,3,3,2,West,879.0,28064.5,4.0,
334,sainbu,Lalitpur,8,6,1,North West,689.0,242997.5,12.0, Blacktopped
335, Tinthana,Kathmandu,5,3,1,East,7100.0,102675.0,13.0, Blacktopped
336, Jawalakhel,Lalitpur,2,1,0,East,276.0,1711.25,0.0,
337, Jawalakhel,Lalitpur,4,3,2,East,185.0,10952.0,0.0,
338, Naxal,Kathmandu,22,4,3,East,175.0,3422.5,0.0,
339, Hetauda,Makwanpur,0,0,0,South,175.0,1822.5,19.68504, Paved
340, Kapan,Kathmandu,4,4,2,West,789.0,10952.0,0.0,
341, Tikathali,Lalitpur,6,4,3,West,17400.0,136900.0,20.0, Concrete
342, Butwal,Butwal,0,0,0,North East,162.0,1369.0,0.0,
343, Jorpati,Kathmandu,0,0,0,North East,573.0,1026.75,0.0, Alley
344, Baluwatar,Kathmandu,5,5,1,South,4000.0,205350.0,13.0, Blacktopped
345, Gaurighat,Kathmandu,0,0,1,North,1700.0,215617.5,13.0, Blacktopped
346, Gaurighat,Kathmandu,0,0,1,South,1100.0,308025.0,13.0, Gravelled
347, Gaurighat,Kathmandu,0,0,0,South,1100.0,175574.25,20.0, Blacktopped
348, Gaurighat,Kathmandu,0,0,0,South,1200.0,308025.0,13.0, Blacktopped
349, Gaurighat,Kathmandu,0,0,1,North,1900.0,109862.25,26.0, Blacktopped
350, Gaurighat,Kathmandu,0,0,0,East,1400.0,5476000.0,36.08924, Blacktopped
351, Kumaripati,Lalitpur,1,0,0,South,476.0,1369.0,65.6168, Blacktopped
352, Gaurighat,Kathmandu,0,0,0,West,1300.0,889850.0,20.0, Blacktopped
353, Birtamod Road,Itahari,0,0,0,East,499.0,22781.25,20.0, Gravelled
354, Samakhusi,Kathmandu,0,0,0,East,124.0,1369.0,0.0,
355, Bhaisepati,Lalitpur,4,4,1,East,236.0,1026.75,0.0,
356, Pasikot,Kathmandu,6,6,6,East,167.0,7187.25,15.0, Gravelled
357, Pasikot,Kathmandu,5,5,6,North,179.0,4107.0,22.0, Blacktopped
358, Thankot,Kathmandu,6,2,1,West,178.0,102675.0,23.0, Blacktopped
359, Kupondole,Lalitpur,4,0,1,East,894.0,7871.75,10.0, Paved
360, Bafal,Kathmandu,4,3,1,East,509.0,1026.75,0.0,
361, Soltimode,Kathmandu,0,3,2,West,157.0,2395.75,16.0, Blacktopped
362, Radhe Radhe,Bhaktapur,0,0,0,East,106.0,213564.0,0.0,
363, Nagarjun,Kathmandu,5,4,1,North,253.0,111231.25,15.0,
364, Chandragiri,Kathmandu,0,0,0,South East,264.0,15401.25,13.0,
365, Naxal,Kathmandu,6,5,1,East,1900.0,410700.0,12.0, Blacktopped
366, Chandragiri,Kathmandu,3,1,1,South,713.0,1026.75,13.0, Gravelled
367, Thapathali,Kathmandu,6,3,1,East,8200.0,209457.0,10.0, Paved
368, Hattigauda,Kathmandu,0,0,0,East,573.0,4791.5,20.0, Gravelled
369, Panchashil Galli,Kathmandu,16,10,2,South,226.0,308025.0,8.0, Paved
370, Imadol,Lalitpur,3,3,1,East,280.0,1026.75,0.0,
371, Dharan,Dharan,0,0,0,East,216.0,25515.0,0.0, Gravelled
372, Kharipati,Bhaktapur,0,0,0,South,164.0,82140.0,20.0, Gravelled
373, Pratibha marga,Pokhara,0,0,0,East,206.0,3833200.0,12.0, Blacktopped
374, Koteshwor,Kathmandu,0,0,0,South East,137.0,5476.0,18.0, Blacktopped
375, Bafal,Kathmandu,7,3,1,South,187.0,136900.0,10.0, Blacktopped
376, Baneshwor,Kathmandu,0,0,0,East,182.0,1369.0,0.0,
377, rupandehi,Butwal,0,2,4,East,195.0,2916.0,50.0, Blacktopped
378, Budhanilkantha,Kathmandu,5,4,2,South,248.0,4107.0,0.0,
379, Sungava Tole Gate 5,Kathmandu,2,1,1,South East,856.0,1369.0,12.0, Blacktopped
380, Buddhanagar,Kathmandu,0,1,1,South,448.0,485995.0,14.0, Paved
381, Gwarko,Lalitpur,3,3,1,North West,1600.0,1026.75,13.0, Blacktopped
382, Imadol,Lalitpur,5,3,1,North East,1000.0,102675.0,20.0,
383, Gatthaghar,Bhaktapur,5,0,6,North,180.0,1369.0,20.0, Blacktopped
384, Gatthaghar,Bhaktapur,0,0,5,North,176.0,1369.0,20.0, Soil Stabilized
385, Chovar,Kathmandu,3,4,2,East,548.0,2395.75,0.0,
386, Budhanilkantha,Kathmandu,0,0,0,East,325.0,2190400.0,20.0, Blacktopped
387, Kunwar Colony,Kathmandu,5,4,1,East,459.0,273800.0,20.0, Blacktopped
388, Budhanilkantha,Kathmandu,6,6,4,East,537.0,684500.0,18.0, Blacktopped
389, Budhanilkantha,Kathmandu,0,0,0,East,258.0,342250.0,16.0, Blacktopped
390, Budhanilkantha,Kathmandu,5,7,20,East,848.0,3285600.0,18.0, Blacktopped
391, Budhanilkantha,Kathmandu,0,0,0,South,178.0,273800.0,15.0, Blacktopped
392, 400 Meters From Main Highway,Kathmandu,6,6,2,East,259.0,205350.0,16.0, Blacktopped
393, Bhangal,Kathmandu,4,3,1,East,347.0,102675.0,15.0, Blacktopped
394, Beside Subisu Office,Kathmandu,6,5,3,East,309.0,410700.0,16.0, Blacktopped
395, Budhanilkantha.,Kathmandu,0,0,0,East,174.0,342250.0,25.0, Blacktopped
396, 150 Mtr From Highway,Kathmandu,0,0,0,East,93.0,205350.0,16.0, Blacktopped
397, Bakhundol,Lalitpur,5,5,3,North,257.0,37647.5,0.0,
398, Dhapasi,Kathmandu,5,6,3,South East,197.0,2738.0,22.0, Blacktopped
399, Kusunti,Lalitpur,2,2,1,East,294.0,1369.0,0.0,
400, Imadol,Lalitpur,5,3,1,West,1400.0,106097.5,20.0, Blacktopped
401, Thamel,Kathmandu,43,20,0,East,537.0,10952.0,0.0,
402, Aadeswor,Kathmandu,8,5,1,West,699.0,136900.0,14.0, Paved
403, Lakeside,Pokhara,31,31,6,East,555.0,684.5,0.0,
404,vhojad,Chitwan,2,2,1,West,232.0,1822.5,62.33596, Alley
405, Budhanilkantha,Kathmandu,4,4,2,East,308.0,1711.25,0.0,
406, Bhangal,Kathmandu,4,2,1,East,240.0,22246.25,12.0, Gravelled
407, Bhaktapur,Bhaktapur,0,0,0,East,189.0,27380.0,0.0,
408, Bharatpur,Chitwan,0,0,0,East,536.0,637875.0,20.0, Gravelled
409, Madhyapur Thimi,Bhaktapur,3,4,3,East,978.0,147167.5,30.0, Blacktopped
410, Khusibu,Kathmandu,17,19,4,East,226.0,2053.5,0.0,
411, Dhapakhel,Lalitpur,4,3,2,East,342.0,1026.75,0.0,
412, Tikathali,Lalitpur,5,2,1,East,988.0,1369.0,15.0, Gravelled
413, Imadol,Lalitpur,6,4,1,West,7500.0,136900.0,13.0, Gravelled
414, Narayantar,Kathmandu,4,4,1,South,609.0,113969.25,18.0, Blacktopped
415, Chinnedanda,Pokhara,0,0,0,West,783.0,1369.0,18.0, Soil Stabilized
416, Sanepa,Lalitpur,4,3,1,East,742.0,1369.0,0.0,
417, Thankot,Kathmandu,2,1,0,South,697.0,2053.5,7.0, Gravelled
418, Tikathali,Lalitpur,4,4,2,South,1400.0,312132.0,492.126, Paved
419, Thaiba,Lalitpur,1,1,1,South West,368.0,5818.25,20.0, Blacktopped
420, Paiyutar,Kathmandu,0,0,0,South,237.0,411384.5,21.0,
421, Bhaisepati,Lalitpur,2,2,1,East,653.0,4791.5,0.0,
422, Balkot,Bhaktapur,4,3,2,South,20600.0,171809.5,28.0, Blacktopped
423, Ward No:02,Kathmandu,0,0,0,West,682.0,10880127.5,14.0, Paved
424, Bhaisepati,Lalitpur,2,2,1,East,757.0,1711.25,0.0,
425, Sitapaila,Kathmandu,3,3,2,East,211.0,2053.5,0.0,
426, Shantinagar,Kathmandu,7,3,1,West,1900.0,249842.5,13.0, Blacktopped
427, Dhobighat,Lalitpur,1,1,0,East,362.0,1026.75,0.0,
428, Sanepa,Lalitpur,4,2,1,East,390.0,1026.75,0.0,
429, Dhobighat,Lalitpur,1,1,0,East,234.0,1026.75,0.0,
430, Karyabinayak,Lalitpur,4,4,1,East,185.0,1369.0,0.0,
431, Bakhundol,Lalitpur,5,4,12,South,886.0,10952.0,13.0, Blacktopped
432, Damak,Jhapa,0,0,0,South,583.0,1369.0,32.0, Blacktopped
433, Dharan,Dharan,0,0,0,East,205.0,3280.5,12.0, Paved
434, Balkot,Bhaktapur,0,0,0,East,910.0,38332000.0,0.0,
435, Budhanilkantha,Kathmandu,0,0,0,North East,678.0,3422.5,15.0, Blacktopped
436, Basundhara,Kathmandu,2,1,1,West,573.0,2053.5,10.0, Gravelled
437, Imadol,Lalitpur,0,0,0,South East,490.0,2738.0,14.0, Gravelled
438, Bhaisepati,Lalitpur,4,4,1,East,440.0,15401.25,0.0,
439, Baneshwor,Kathmandu,0,0,0,East,477.0,1369.0,0.0,
440, Civil Homes,Lalitpur,2,2,1,East,489.0,1711.25,0.0,
441, Inside Ring Road,Kathmandu,4,3,1,East,1100.0,855625.0,16.0, Blacktopped
442, 30 Meter From Highway,Kathmandu,0,4,2,East,589.0,205350.0,20.0, Blacktopped
443, Samakhusi,Kathmandu,5,6,4,East,259.0,4449.25,20.0, Blacktopped
444, Budhanilkantha,Kathmandu,6,6,5,East,292.0,7187.25,20.0, Blacktopped
445, Baluwatar,Kathmandu,0,0,0,East,362.0,684500.0,15.0, Blacktopped
446, Samakhusi,Kathmandu,12,8,4,East,199.0,3764.75,13.0, Blacktopped
447, Golfutar,Kathmandu,6,6,2,East,210.0,2053.5,15.0, Blacktopped
448, Chabahil,Kathmandu,5,5,2,East,284.0,15401.25,14.0, Blacktopped
449, Baniyatar,Kathmandu,6,6,1,North East,153.0,11978.75,15.0, Blacktopped
450, Basundhara,Kathmandu,6,6,4,South West,268.0,2738.0,20.0, Blacktopped
451, Basundhara,Kathmandu,7,7,4,South,265.0,3422.5,15.0, Blacktopped
452, Basundhara,Kathmandu,5,5,1,East,237.0,8556.25,14.0, Paved
453, 700 meter out from ring road.,Kathmandu,5,5,0,South,97.0,410700.0,22.0, Blacktopped
454, Sitapaila,Kathmandu,0,0,0,East,214.0,2738.0,30.0, Blacktopped
455, Opposite Park Village Resort,Kathmandu,0,0,0,East,126.0,616050.0,16.0, Blacktopped
456, Budhanilkantha,Kathmandu,5,6,4,South West,219.0,5818.25,14.0, Gravelled
457, Budhanilkantha,Kathmandu,0,0,0,East,108.0,6160.5,15.0, Gravelled
458, Dhapasi,Kathmandu,7,7,4,South East,88.0,4107.0,20.0, Blacktopped
459, Golfutar,Kathmandu,6,7,2,East,191.0,2053.5,15.0, Blacktopped
460, 400 meter from Bhatbhateni.,Kathmandu,6,5,0,East,437.0,410700.0,16.0, Blacktopped
461, Sukedhara,Kathmandu,8,7,4,South East,243.0,205350.0,20.0, Paved
462, Imadol,Lalitpur,2,1,1,North East,2700.0,109520.0,10.0, Gravelled
463, Imadol,Lalitpur,2,1,1,North,178.0,103701.75,10.0, Gravelled
464, Imadol,Lalitpur,2,1,1,West,1600.0,75295.0,16.0, Gravelled
465, Bharatpur,Chitwan,0,0,0,South,482.0,4738.5,164.042, Blacktopped
466, Imadol,Lalitpur,2,1,1,West,3800.0,102675.0,13.0, Gravelled
467, Civil Homes,Lalitpur,4,3,1,East,696.0,2053.5,0.0,
468, Tikathali,Lalitpur,2,1,1,East,2600.0,113284.75,13.0, Gravelled
469, Sagarmatha chwok,Kathmandu,8,4,1,North,6100.0,109520.0,10.0, Gravelled
470, Buddha party palace,Lalitpur,2,1,1,South,902.0,79402.0,13.0, Gravelled
471, Bharatpur,Chitwan,0,0,0,South,250.0,18225.0,26.0, Blacktopped
472, Bharatpur,Chitwan,6,3,10,South,456.0,1369.0,26.0, Blacktopped
473, Machhegaun,Kirtipur,2,1,1,North East,271.0,140322.5,13.0, Soil Stabilized
474, Dhapakhel,Lalitpur,3,2,1,East,587.0,1369.0,24.0, Blacktopped
475, Tikathali,Lalitpur,2,1,1,North East,5200.0,137584.5,16.0, Blacktopped
476, Tikathali,Lalitpur,2,1,1,East,2100.0,102675.0,13.0, Gravelled
477, Changunarayan,Bhaktapur,0,0,0,North,542.0,2053.5,12.0,
478, Bhaisepati,Lalitpur,4,4,1,East,404.0,136900.0,12.0, Paved
479, Hetauda,Makwanpur,4,4,4,East,502.0,110204.5,14.0, Paved
480, lalitpur,Lalitpur,0,5,3,North,589.0,3080.25,3.28084, Gravelled
481, Baluwatar,Kathmandu,0,0,0,East,300.0,68450.0,15.0, Blacktopped
482, Golfutar,Kathmandu,0,0,0,East,498.0,136900.0,16.0, Blacktopped
483, Golfutar,Kathmandu,0,0,0,East,134.0,15401.25,13.0, Blacktopped
484, Bhangal,Kathmandu,5,5,1,West,199.0,1369.0,13.0, Gravelled
485, Baluwatar,Kathmandu,7,4,4,East,448.0,1882375.0,14.0, Blacktopped
486, Baluwatar,Kathmandu,5,6,4,East,254.0,18823.75,13.0, Paved
487, Basundhara,Kathmandu,7,4,1,East,306.0,136900.0,14.0, Blacktopped
488, Samakhusi,Kathmandu,5,4,2,South East,295.0,239575.0,14.0, Blacktopped
489, Nakhipot,Lalitpur,4,5,1,South West,227.0,106097.5,0.0,
490, Kharibot,Kathmandu,5,3,1,East,237.0,1129425.0,13.0, Blacktopped
491, Samakhusi,Kathmandu,5,6,2,South,138.0,2395.75,14.0, Blacktopped
492, Basundhara,Kathmandu,7,6,1,South West,122.0,128343.75,14.0, Blacktopped
493, Near Krishna Mandir,Kathmandu,0,0,0,East,498.0,171125.0,15.0, Gravelled
494, Mandikatar,Kathmandu,6,3,1,East,654.0,136900.0,15.0, Blacktopped
495, 4 Km From Ring Road,Kathmandu,0,0,0,East,433.0,1369.0,20.0, Soil Stabilized
496, 50 Meters From Main Highway.,Kathmandu,5,4,2,East,534.0,342250.0,16.0, Blacktopped
497, Budhanilkantha,Kathmandu,0,0,0,West,452.0,342250.0,14.0, Blacktopped
498, Budhanilkantha,Kathmandu,5,5,0,East,581.0,58182.5,20.0, Blacktopped
499, Rudreshwor,Kathmandu,6,4,2,East,459.0,205350.0,30.0, Blacktopped
500, Tudaldevi.,Kathmandu,3,3,2,East,1200.0,1779700.0,15.0, Blacktopped
501, Taulung.,Kathmandu,0,3,3,East,476.0,308025.0,16.0, Blacktopped
502, Imadol,Lalitpur,4,1,0,North East,984.0,174547.5,4.0, Concrete
503, Chakupat,Lalitpur,0,2,0,South,555.0,342.25,1.0, Concrete
504, Tikathali,Lalitpur,2,1,1,East,319.0,1026.75,13.0,
505, Tikathali,Lalitpur,2,1,1,East,378.0,1026.75,15.0,
506, Samakhusi,Kathmandu,0,0,0,South East,225.0,1711.25,13.0, Blacktopped
507, Imadol,Lalitpur,4,4,1,West,465.0,128343.75,13.0, Blacktopped
508, Dhapasi,Kathmandu,4,3,1,South East,247.0,3422.5,20.0, Blacktopped
509, Imadol,Lalitpur,6,4,0,East,973.0,109520.0,13.0, Blacktopped
510, Pepsicola,Kathmandu,4,2,1,South,1000.0,1369.0,20.0, Blacktopped
511, Chapali,Kathmandu,0,0,0,East,369.0,11294.25,20.0, Gravelled
512, Sano Bharyang,Kathmandu,5,5,1,East,650.0,1026.75,13.0, Gravelled
513, Mandikatar,Kathmandu,7,6,1,East,832.0,1369.0,13.0, Gravelled
514, Budhanilkantha,Kathmandu,5,4,10,East,671.0,752950.0,16.0, Blacktopped
515, MITRAPARK,Kathmandu,4,4,2,East,473.0,1540125.0,16.0, Blacktopped
516, Banasthali,Kathmandu,4,3,1,East,805.0,102675.0,15.0, Blacktopped
517, Swayambhu,Kathmandu,0,3,1,East,192.0,102675.0,16.0, Blacktopped
518, Dhungedhara,Kathmandu,5,5,1,East,523.0,1026.75,14.0, Gravelled
519, Budhanilkantha,Kathmandu,6,7,10,East,177.0,7529.5,15.0, Blacktopped
520, Chabahil,Kathmandu,5,5,2,East,650.0,15401.25,15.0, Blacktopped
521, Budhanilkantha,Kathmandu,10,10,5,East,360.0,7187.25,20.0, Blacktopped
522, Baluwatar,Kathmandu,6,6,0,South East,711.0,2053.5,15.0, Blacktopped
523, Budhanilkantha,Kathmandu,5,5,1,North,580.0,10609.75,13.0, Gravelled
524, Bhangal,Kathmandu,6,6,2,East,118.0,1369.0,14.0, Gravelled
525, Shantinagar,Kathmandu,5,3,1,West,7500.0,171125.0,15.0, Blacktopped
526, Budhanilkantha,Kathmandu,5,6,4,East,493.0,6845.0,18.0, Blacktopped
527, Satdobato,Lalitpur,5,4,9,South,1700.0,8323520.0,8.0, Blacktopped
528, Imadol,Lalitpur,4,5,1,South West,4500.0,136900.0,20.0, Gravelled
529, Bhaisepati,Lalitpur,5,4,1,South East,6400.0,147509.75,13.0, Blacktopped
530, Ramkot,Kathmandu,4,2,0,North East,536.0,1711.25,20.0,
531, Ramkot,Kathmandu,4,2,1,North East,872.0,1369.0,0.0,
532, Ramkot,Kathmandu,4,2,1,North East,497.0,1369.0,20.0,
533, Budhanilkantha,Kathmandu,0,0,0,East,309.0,3422.5,13.0, Blacktopped
534, Gairidhara,Kathmandu,18,5,0,North East,509.0,10952.0,13.0, Blacktopped
535, Basbari,Kathmandu,0,0,0,North,604.0,1026.75,20.0, Blacktopped
536, Budhanilkantha,Kathmandu,0,0,0,East,867.0,18823.75,13.0,
537, Chabahil,Kathmandu,0,0,0,East,1800.0,1369.0,20.0, Blacktopped
538, Nagarkot,Bhaktapur,0,0,0,North West,466.0,60236.0,400.0, Blacktopped
539, Bhairab Road,Makwanpur,0,0,0,South,860.0,13668.75,20.0, Blacktopped
540, Chapali,Kathmandu,7,6,3,East,839.0,29091.25,13.0, Gravelled
541, Paknajol,Kathmandu,18,4,0,West,429.0,136900.0,18.0, Blacktopped
542, Tokha,Kathmandu,0,0,0,North East,509.0,5476.0,0.0,
543, Pepsicola,Kathmandu,0,0,0,East,507.0,171125.0,13.0, Blacktopped
544, Dhapakhel,Lalitpur,2,1,1,East,758.0,1369.0,36.08924, Blacktopped
545, Imadol,Lalitpur,4,3,2,West,869.0,106097.5,0.0, Blacktopped
546, Gwarko,Lalitpur,3,2,1,South,8000.0,103017.25,13.0, Blacktopped
547, Balkumari,Lalitpur,3,2,0,East,2400.0,1369.0,20.0, Blacktopped
548, Naxal,Kathmandu,0,0,0,South East,287.0,3422.5,20.0, Blacktopped
549, Naxal,Kathmandu,0,0,0,East,196.0,3422.5,16.0, Blacktopped
550, Budhanilkantha,Kathmandu,3,4,1,North,172.0,1369.0,15.0, Blacktopped
551, hadigaon,Kathmandu,0,0,0,North East,149.0,6845.0,0.0,
552, Ratopul,Kathmandu,0,0,0,South,134.0,2738.0,15.0, Blacktopped
553, Soltimode,Kathmandu,0,0,0,North East,285.0,140322.5,15.0,
554, Sinamangal,Kathmandu,4,3,2,South East,144.0,2738.0,15.0, Blacktopped
555, Boudha,Kathmandu,0,0,0,South East,243.0,17797.0,15.0, Blacktopped
556, Boudha,Kathmandu,0,0,2,South West,178.0,1026.75,0.0,
557, Gyaneshwor,Kathmandu,0,0,0,North East,177.0,21904.0,20.0, Blacktopped
558, Maharajgunj,Kathmandu,0,0,0,South East,152.0,1538756.0,16.0, Blacktopped
559, Thamel,Kathmandu,12,0,2,North West,109.0,1026.75,15.0, Blacktopped
560, Maharajgunj,Kathmandu,12,0,3,North East,122.0,2053.5,16.0, Blacktopped
561, Lazimpat,Kathmandu,8,3,2,North East,125.0,1369.0,16.0,
562, Budhanilkantha,Kathmandu,0,0,0,North East,434.0,1369.0,15.0, Gravelled
563, Basbari,Kathmandu,4,4,1,South,157.0,2053.5,16.0,
564, Basundhara,Kathmandu,7,8,4,East,672.0,4791.5,14.0, Blacktopped
565, Ramkot,Kathmandu,0,0,0,South East,171.0,342250.0,13.0, Gravelled
566, Dahachowk,Kathmandu,0,0,0,South,438.0,136900.0,13.0, Gravelled
567, Gongabu,Kathmandu,13,0,0,East,160.0,1369.0,13.0,
568, Khusibu,Kathmandu,17,17,0,North East,348.0,2053.5,20.0, Blacktopped
569, Budhanilkantha,Kathmandu,0,0,0,East,460.0,1369.0,22.0, Blacktopped
570, Lazimpat,Kathmandu,4,4,2,North East,516.0,2395.75,13.0,
571, Kapan,Kathmandu,8,3,2,North,706.0,11978.75,10.0, Soil Stabilized
572, Gothatar,Kathmandu,3,3,1,East,10600.0,102675.0,14.0, Gravelled
573, Budhanilkantha,Kathmandu,0,0,0,East,421.0,2395.75,13.0,
574, Kapan,Kathmandu,4,5,1,West,1200.0,1026.75,16.0, Gravelled
575, Nirmal Pokhari,Pokhara,0,0,0,North,483.0,65712.0,13.0, Soil Stabilized
576, Mandikatar,Kathmandu,8,6,1,South East,862.0,1369.0,20.0, Blacktopped
577, Budhanilkantha,Kathmandu,5,5,2,East,641.0,1369.0,15.0, Paved
578, Nirmal Pokhari,Pokhara,0,0,0,South,504.0,164280.0,20.0, Blacktopped
579, Hattigauda,Kathmandu,5,5,1,North West,837.0,18823.75,14.0, Gravelled
580, Budhanilkantha,Kathmandu,7,6,2,South West,472.0,1711.25,20.0, Blacktopped
581, Basundhara,Kathmandu,6,6,2,South,498.0,18139.25,14.0, Blacktopped
582, Buddhanagar,Kathmandu,5,3,1,South,4600.0,102675.0,10.0, Concrete
583, Tokha,Kathmandu,6,6,1,East,550.0,1026.75,13.0, Paved
584, Golfutar,Kathmandu,6,6,5,East,589.0,6502.75,13.0, Blacktopped
585, Hattigauda,Kathmandu,5,5,1,North,179.0,2053.5,13.0, Blacktopped
586, Hattigauda,Kathmandu,0,0,0,East,378.0,6502.75,15.0, Blacktopped
587, Tokha,Kathmandu,6,6,1,South East,87.0,1369.0,14.0, Blacktopped
588, Hattigauda,Kathmandu,5,5,1,North,143.0,1369.0,15.0, Gravelled
589, Basundhara,Kathmandu,5,5,3,East,551.0,3764.75,16.0, Blacktopped
590, Naya Bazar,Kathmandu,5,5,2,East,310.0,1711.25,20.0, Blacktopped
591, Budhanilkantha,Kathmandu,5,5,2,West,490.0,29091.25,13.0, Gravelled
592, Thulo Bharyang,Kathmandu,5,5,3,East,151.0,2395.75,15.0, Blacktopped
593, Dhumbarahi,Kathmandu,0,0,0,East,146.0,10952.0,20.0, Blacktopped
594, Tokha,Kathmandu,6,6,1,East,316.0,1369.0,13.0, Blacktopped
595, Budhanilkantha,Kathmandu,5,5,1,South,410.0,1711.25,16.0, Blacktopped
596, Maharajgunj,Kathmandu,0,0,0,South,487.0,1711.25,15.0, Blacktopped
597, Golfutar,Kathmandu,0,0,0,East,359.0,2738.0,16.0, Blacktopped
598, Basundhara,Kathmandu,5,5,1,East,581.0,14032.25,16.0, Blacktopped
599, Baluwatar,Kathmandu,0,0,0,East,371.0,5476.0,12.0, Blacktopped
600, Jorpati,Kathmandu,0,0,0,East,179.0,193713.5,20.0, Soil Stabilized
601, Kalanki,Kathmandu,0,0,0,South East,509.0,107124.25,12.0, Gravelled
602, Sanepa,Lalitpur,3,2,1,South,1700.0,1369.0,20.0, Blacktopped
603, Machhegaun,Kirtipur,0,0,0,South,391.0,27380000.0,20.0, Blacktopped
604, Ratmata,Mahottari,0,0,0,East,706.0,1369.0,19.68504, Soil Stabilized
605, Bhadrapur,Jhapa,0,0,0,North West,376.0,72900.0,20.0, Gravelled
606, Nijghadh,Bara,0,0,0,East,369.0,1093500.0,0.0, Soil Stabilized
607, Imadol,Lalitpur,2,1,0,South East,657.0,1369.0,14.0, Gravelled
608, Bhimsengola,Kathmandu,6,5,3,East,3800.0,136900.0,15.0, Blacktopped
609, Old Baneshwor,Kathmandu,6,5,3,East,859.0,136900.0,13.0, Blacktopped
610, Dhapakhel,Lalitpur,0,0,0,South East,2000.0,11294.25,20.0, Soil Stabilized
611, Syuchatar,Kathmandu,4,2,1,South,11800.0,147167.5,18.0, Concrete
612, Thulo Bharyang,Kathmandu,9,6,31,North,5100.0,485995.0,20.0, Blacktopped
613,Tinkune,Kathmandu,4,3,4,East,393.0,196793.75,11.0, Blacktopped
614, Dhobighat,Lalitpur,4,2,3,South,11300.0,684500.0,16.0, Blacktopped
615, Kathmandu,Kathmandu,2,1,1,North,868.0,1026.75,13.0, Gravelled
616, Hattiban,Lalitpur,5,3,1,East,572.0,3422.5,55.77428, Blacktopped
617, Chabahil,Kathmandu,0,0,0,East,649.0,205350.0,15.0, Blacktopped
618, Imadol,Lalitpur,0,4,1,South East,705.0,106782.0,13.0, Gravelled
619, Sitapaila,Kathmandu,6,5,1,East,8000.0,136900.0,14.0, Concrete
620, Imadol,Lalitpur,5,3,1,South,1200.0,106097.5,20.0, Blacktopped
621, Imadol,Lalitpur,6,3,1,South,903.0,109520.0,20.0, Blacktopped
622, Budhanilkantha,Kathmandu,4,4,2,East,2400.0,239575.0,20.0, Gravelled
623, Mandikatar,Kathmandu,5,4,2,East,756.0,479150.0,16.0, Blacktopped
624, Inside Ring Road,Kathmandu,0,4,0,East,357.0,376475.0,18.0, Blacktopped
625, Shree Tol,Kathmandu,4,3,1,East,359.0,171125.0,15.0, Gravelled
626, Near Highway,Kathmandu,4,3,1,South East,1600.0,171125.0,15.0, Blacktopped
627, Budhanilkantha,Kathmandu,0,0,0,East,255.0,1369.0,16.0, Blacktopped
628, Baluwatar,Kathmandu,0,0,0,East,261.0,5476000.0,15.0, Blacktopped
629, Tokha,Kathmandu,4,3,1,East,221.0,1060975.0,12.0, Gravelled
630, Tokha,Kathmandu,0,4,3,East,306.0,273800.0,16.0, Blacktopped
631, Budhanilkantha,Kathmandu,0,0,0,South East,135.0,205350.0,20.0, Blacktopped
632, budhanilkantha,Kathmandu,4,3,1,East,198.0,136900.0,14.0, Blacktopped
633, Shree Tol,Kathmandu,4,3,1,East,151.0,16256875.0,15.0, Gravelled
634, Chapali,Kathmandu,4,4,0,East,436.0,5476000.0,16.0, Blacktopped
635, Hadigaun,Kathmandu,4,3,2,East,125.0,171125.0,15.0, Blacktopped
636, Hattigauda,Kathmandu,4,4,2,East,297.0,1882375.0,15.0, Blacktopped
637, Tokha,Kathmandu,4,3,1,East,110.0,136900.0,13.0, Blacktopped
638, Budhanilkantha,Kathmandu,0,4,3,East,290.0,280645.0,16.0, Blacktopped
639, Colony Bhitra,Kathmandu,0,4,0,East,390.0,592092.5,15.0, Blacktopped
640, Baluwakhani,Kathmandu,4,3,2,South East,275.0,1540125.0,14.0, Blacktopped
641, Budhanilkantha,Kathmandu,4,4,3,East,151.0,239575.0,16.0, Blacktopped
642, 800 M From Main Highway,Kathmandu,0,4,0,East,132.0,718725.0,16.0, Blacktopped
643, Dhapasi,Kathmandu,4,4,2,East,305.0,171125.0,15.0, Blacktopped
644, Chapali,Kathmandu,4,4,4,South East,118.0,410700.0,16.0, Blacktopped
645, 150 Mtr From Ring Road.,Kathmandu,4,4,0,East,737.0,1779700.0,20.0, Blacktopped
646, Golfutar.,Kathmandu,4,4,3,South East,232.0,308025.0,20.0, Blacktopped
647, Maharajgunj,Kathmandu,4,4,4,South East,247.0,308025.0,20.0, Blacktopped
