,Address,City,Bedroom,Bathroom,Parking,Face,Views,Area,Road Width,Road Type
73, Dhapasi,Kathmandu,8,4,5,South,86.0,1369.0,12.0, Concrete
74, Imadol,Lalitpur,2,1,1,West,3200.0,102675.0,20.0, Gravelled
75, Imadol,Lalitpur,5,3,1,East,710.0,106097.5,20.0, Gravelled
76, Imadol,Lalitpur,5,3,1,West,157.0,109520.0,20.0, Gravelled
77, Imadol,Lalitpur,4,3,1,East,161.0,136900.0,20.0, Gravelled
78, Imadol,Lalitpur,4,3,1,North East,166.0,109520.0,20.0, Gravelled
79, Buddha party palace,Lalitpur,4,3,1,South,602.0,102675.0,13.0, Gravelled
80, Buddha party palace,Lalitpur,4,3,1,South,792.0,102675.0,13.0, Gravelled
81, Swayambhu,Kathmandu,8,5,2,South,136.0,175574.25,12.0, Gravelled
82, Swayambhu,Kathmandu,6,3,1,South,94.0,136900.0,12.0, Gravelled
83, Butwal,Butwal,2,1,1,South,197.0,113906.25,32.0,
84, near tempo park,Lalitpur,0,3,1,East,340.0,136900.0,12.0,
85, Manamaiju,Kathmandu,8,4,1,South,220.0,137584.5,16.0, Gravelled
86, Syuchatar,Kathmandu,5,3,1,South West,380.0,212195.0,10.0,
87, Kavresthali,Kathmandu,7,3,1,North East,135.0,136900.0,10.0,
88, Goldhunga,Kathmandu,5,2,1,North West,960.0,110204.5,13.0,
89, Imadol,Lalitpur,6,4,1,North,673.0,11294.25,10.0,
90, Maharajgunj,Kathmandu,0,0,0,North East,167.0,208772.5,12.0, Blacktopped
91, Baluwatar,Kathmandu,5,5,3,South East,296.0,342250.0,20.0,
92, Kalanki,Kathmandu,4,3,1,North West,2100.0,136900.0,10.0, Blacktopped
93, Imadol,Lalitpur,2,1,1,South,917.0,106097.5,13.0, Gravelled
94, Sirutar,Bhaktapur,0,0,0,North East,3800.0,1369.0,20.0, Gravelled
95, Budhanilkantha,Kathmandu,4,4,4,South West,8200.0,3764.75,22.0,
96, Tikathali,Lalitpur,2,1,1,South,4100.0,102675.0,13.0, Gravelled
97, Imadol,Lalitpur,4,3,2,North West,1900.0,109520.0,13.0, Gravelled
98, Pasikot,Kathmandu,0,0,0,South West,138.0,342250.0,20.0,
99, Planning,Kathmandu,2,1,2,South West,5300.0,136900.0,20.0, Gravelled
100, Budhanilkantha,Kathmandu,0,0,0,West,48.0,4107.0,16.0, Paved
101, Sankhamul,Kathmandu,0,0,0,East,46.0,616050.0,40.0, Blacktopped
102,Thankot,Kathmandu,0,0,0,South,232.0,1711.25,13.0, Blacktopped
103, Golfutar,Kathmandu,0,0,0,East,23.0,136900.0,13.0, Soil Stabilized
104, Simara,Bara,0,0,0,West,323.0,1439775.0,16.0,
105, Ring Road,Kathmandu,0,0,0,North West,203.0,3422.5,20.0,
106, Gaurighat,Kathmandu,0,0,0,South,443.0,20877.25,12.0, Paved
107, Budhanilkantha,Kathmandu,2,1,0,West,457.0,1369.0,11.0,
108, Budhanilkantha,Kathmandu,0,0,0,West,599.0,6160.5,20.0, Blacktopped
109, Budhanilkantha,Kathmandu,0,0,0,East,195.0,6160.5,30.0, Blacktopped
110, Jhor,Kathmandu,0,0,0,East,475.0,239575.0,58.0, Concrete
111, Birtamod,Birtamod,0,0,0,East,222.0,419175.0,20.0, Soil Stabilized
112, Kavresthali,Kathmandu,0,0,0,South,248.0,136900.0,10.0,
113, Chabahil,Kathmandu,0,0,0,South,126.0,177970.0,13.0,
114, Kavresthali,Kathmandu,0,0,0,South,111.0,136900.0,10.0,
115, Dharmasthali,Kathmandu,0,0,0,West,110.0,171125.0,20.0,
116, Budhanilkantha,Kathmandu,0,0,0,East,211.0,14032.25,15.0, Blacktopped
117, Budhanilkantha,Kathmandu,0,0,0,East,142.0,5476.0,30.0, Blacktopped
118, Budhanilkantha,Kathmandu,0,0,0,South,103.0,3422.5,30.0, Blacktopped
119, Dillibazar,Kathmandu,0,0,0,North,247.0,1026.75,26.0,
120, Budhanilkantha,Kathmandu,0,0,0,East,89.0,27722250.0,32.0,
121, Golfutar,Kathmandu,0,0,0,South,73.0,2738.0,15.0,
122, Budhanilkantha,Kathmandu,0,0,0,East,72.0,43808.0,35.0, Blacktopped
123, milantol,Kathmandu,2,1,1,West,498.0,18823.75,18.0,
124, Bhaktapur,Bhaktapur,0,0,0,South,316.0,205350.0,0.0,
125,Near Bhat Bhateni,Kathmandu,2,2,0,West,615.0,1369.0,10.0,
126, Imadol,Lalitpur,0,0,0,South West,90.0,15401.25,22.96588, Gravelled
127, Hattigauda,Kathmandu,7,7,3,South,252.0,3080.25,13.0, Blacktopped
128, Lazimpat,Kathmandu,1,1,1,East,567.0,3422.5,0.0,
129, Bishal Nagar,Kathmandu,0,0,0,East,141.0,9925.25,16.0,
130,kathmandu,Kathmandu,0,0,0,North East,397.0,171125.0,16.0,
131, Baluwatar,Kathmandu,0,0,0,East,344.0,5476.0,14.0,
132, Newroad,Kathmandu,0,1,0,South,158.0,1369.0,0.0,
133, Maligaon,Kathmandu,0,0,0,East,58.0,4107.0,25.0,
134, Newroad,Kathmandu,0,1,0,South,92.0,1369.0,0.0,
135, Hattigauda,Kathmandu,0,0,0,South,151.0,3080.25,15.0, Blacktopped
136, Mahalaxmi Nagarpalika,Lalitpur,0,0,2,East,106.0,3080.25,72.0, Blacktopped
137, Budhanilkantha,Kathmandu,0,0,0,North East,134.0,21904.0,15.0, Soil Stabilized
138, Budhanilkantha,Kathmandu,6,7,6,South East,354.0,7187.25,16.0, Blacktopped
139, Ranibari,Kathmandu,0,0,0,East,105.0,1369.0,15.0, Blacktopped
140, Golfutar,Kathmandu,0,0,0,South West,117.0,1711.25,13.0, Soil Stabilized
141, Link Road,Kathmandu,0,2,5,North,655.0,1369.0,65.6168, Blacktopped
142, Lazimpat,Kathmandu,0,0,0,South,101.0,410700.0,0.0,
143, Anamnagar,Kathmandu,0,0,0,East,50.0,239575.0,29.52756, Blacktopped
144, Imadol,Lalitpur,2,2,1,West,666.0,1369.0,13.0, Concrete
145, Baneshwor,Kathmandu,0,0,4,East,78.0,1369.0,26.0, Blacktopped
146, Zero Km,Pokhara,1,1,1,North East,480.0,181392.5,14.0, Blacktopped
147, Chitapol,Bhaktapur,0,0,0,South,1400.0,352517.5,10.0, Gravelled
148, Sanepa,Lalitpur,0,0,0,North East,259.0,1369.0,0.0,
149, Sanepa,Lalitpur,0,0,0,North East,196.0,1369.0,20.0,
150, Kirtipur,Kathmandu,0,0,0,South East,161.0,650275.0,22.0,
151, Maharajgunj,Kathmandu,5,4,11,East,226.0,27380.0,0.0,
152, Bhangal,Kathmandu,0,0,0,North,158.0,1711.25,0.0,
153, Birendranagar,Chitwan,0,0,0,East,109.0,1369.0,30.0, Soil Stabilized
154, Panipokhari,Kathmandu,3,3,1,South,395.0,1369.0,20.0,
